CustomerID,Age,AccountType,Balance,OpenDate,Status,CreditScore,Region,TransactionCount,HasLoan
C1001,46.0,Savings,8406.74,2023-12-09,Active,593.0,North,58,Yes
C1002,39.0,SAVINGS,4002.56,2022-02-12,Active,746.0,North,36,No
C1003,48.0,Checking,507.51,2022-06-19,Active,798.0,East,4,No
C1004,59.0,savings,19140.56,2021-07-11,Active,796.0,North,137,Yes
C1005,38.0,Savings,17309.27,2025-04-14,Active,765.0,West,124,No
C1006,38.0,Checking,9378.0,2021-02-15,Churned,666.0,North,69,No
C1007,59.0,Savings,28635.87,2020-10-19,Active,654.0,East,204,Yes
C1008,50.0,CHECKING,4867.92,2019-04-10,Active,563.0,South,35,No
C1009,35.0,savings,19893.58,2018-04-17,Active,822.0,East,146,No
C1010,47.0,CHECKING,621.7,2020-02-02,Active,712.0,West,9,Yes
C1011,35.0,SAVINGS,2881.22,2023-08-07,Active,645.0,North,20,No
C1012,35.0,savings,1682.31,2023-10-22,Active,772.0,East,17,No
C1013,43.0,Checking,1457.69,2022-05-05,Active,611.0,East,24,Yes
C1014,18.0,savings,1060.54,2024-04-19,Active,708.0,West,16,No
C1015,20.0,savings,5993.74,2019-04-28,Active,667.0,East,40,No
C1016,34.0,Checking,9270.93,unknown,Active,724.0,West,62,No
C1017,28.0,SAVINGS,5330.74,2020-12-02,Active,675.0,North,47,No
C1018,44.0,savings,1103.71,2025-11-23,Active,578.0,East,16,No
C1019,30.0,SAVINGS,10149.98,2023-01-02,Active,685.0,East,81,No
C1020,24.0,SAVINGS,6212.86,2020-05-28,Churned,753.0,West,47,Yes
C1021,58.0,SAVINGS,3097.76,2024-11-11,Active,677.0,North,22,No
C1022,38.0,Savings,6877.55,2021-03-15,Active,734.0,North,59,Yes
C1023,41.0,checking,1955.86,2025-10-13,Active,606.0,East,18,No
C1024,23.0,SAVINGS,2690.48,2023-07-05,Active,678.0,East,31,No
C1025,34.0,Checking,15118.71,2020-03-30,Churned,636.0,West,101,No
C1026,42.0,checking,2209.21,2019-05-18,Active,732.0,North,18,Yes
C1027,,SAVINGS,3959.14,2019-07-10,Churned,682.0,North,33,No
C1028,45.0,Checking,13401.35,2018-10-31,Active,728.0,West,101,No
C1029,33.0,Checking,7530.29,2023-01-26,Active,756.0,West,60,Yes
C1030,37.0,CHECKING,535.33,2019-12-09,Active,728.0,West,10,No
C1031,33.0,CHECKING,1106.11,2022-12-29,Churned,699.0,West,18,Yes
C1032,63.0,savings,197.23,2018-12-26,Active,610.0,West,7,No
C1033,40.0,SAVINGS,6130.48,2025-08-25,Active,679.0,South,52,Yes
C1034,28.0,SAVINGS,3711.69,2021-08-02,Active,642.0,East,31,No
C1035,50.0,checking,1015.13,2025-06-28,Active,655.0,East,13,No
C1036,26.0,Checking,19161.11,2021-11-24,Churned,653.0,South,134,No
C1037,43.0,SAVINGS,4675.79,2018-09-23,Active,611.0,North,38,Yes
C1038,18.0,savings,1811.59,2024-03-02,Active,542.0,South,21,Yes
C1039,25.0,Savings,4316.13,2024-01-30,Active,633.0,East,32,No
C1040,43.0,Checking,6979.49,2021-04-04,Active,693.0,East,57,No
C1041,49.0,Savings,625.81,2021-05-13,Churned,585.0,South,7,No
C1042,43.0,savings,2077.05,2019-10-08,Active,681.0,South,21,No
C1043,39.0,CHECKING,10019.32,2025-11-08,Active,813.0,West,69,Yes
C1044,37.0,savings,3843.39,2025-02-25,Churned,751.0,East,29,No
C1045,23.0,Savings,4895.58,2019-12-15,Active,795.0,North,41,No
C1046,32.0,Checking,3552.43,2022-01-20,Active,707.0,South,30,Yes
C1047,35.0,checking,419.36,2023-09-15,Active,761.0,South,16,Yes
C1048,53.0,SAVINGS,1237.33,2020-07-07,Active,629.0,South,23,Yes
C1049,45.0,savings,3688.58,2019-05-13,Active,634.0,South,30,Yes
C1050,19.0,Checking,1558.15,2020-04-03,Churned,488.0,West,24,No
C1051,44.0,SAVINGS,457.63,2019-07-23,Active,763.0,South,10,No
C1052,36.0,CHECKING,11283.94,2020-08-27,Active,787.0,West,78,No
C1053,32.0,CHECKING,23991.01,2023-07-17,Churned,641.0,West,164,Yes
C1054,48.0,SAVINGS,9604.36,2018-04-18,Active,662.0,East,78,No
C1055,53.0,CHECKING,11686.06,2022-01-18,Active,627.0,West,88,No
C1056,52.0,Checking,1812.25,2024-03-19,Active,706.0,North,15,No
C1057,30.0,savings,19558.05,2024-06-02,Churned,758.0,South,133,Yes
C1058,37.0,Checking,1465.85,2022-02-20,Active,558.0,East,10,No
C1059,44.0,Checking,18298.47,2023-03-30,Active,708.0,West,123,No
C1060,52.0,SAVINGS,31726.88,2024-03-09,Active,660.0,South,222,Yes
C1061,35.0,checking,7613.0,2019-06-16,Active,687.0,East,51,Yes
C1062,38.0,checking,23975.46,2024-11-11,Active,712.0,East,162,Yes
C1063,27.0,savings,5207.4,2018-12-20,Churned,666.0,North,46,No
C1064,26.0,SAVINGS,1952.92,2018-09-27,Active,672.0,South,28,Yes
C1065,50.0,checking,3596.81,2021-06-20,Active,665.0,West,31,Yes
C1066,57.0,CHECKING,5551.93,2022-06-19,Churned,747.0,South,48,No
C1067,40.0,checking,605.34,2023-05-15,Active,709.0,South,11,No
C1068,53.0,CHECKING,5992.62,2023-11-24,Active,695.0,East,42,No
C1069,45.0,savings,23986.32,2022-08-10,Active,591.0,South,161,Yes
C1070,33.0,Checking,1415.12,2022-08-05,Churned,653.0,North,12,No
C1071,45.0,Checking,9588.49,2024-06-12,Active,742.0,West,74,No
C1072,59.0,checking,14459.2,2018-10-30,Active,682.0,North,109,No
C1073,40.0,CHECKING,17412.53,2019-05-29,Active,726.0,East,123,No
C1074,59.0,Savings,19483.63,2021-07-22,Active,803.0,South,143,No
C1075,18.0,Savings,4572.09,2025-03-16,Active,752.0,West,38,Yes
C1076,50.0,Savings,22864.43,2018-10-31,Active,686.0,East,167,Yes
C1077,42.0,Checking,8645.83,2023-01-18,Active,644.0,East,70,No
C1078,37.0,SAVINGS,1208.07,2023-03-24,Active,501.0,North,20,Yes
C1079,42.0,Checking,4037.9,2025-08-17,Active,668.0,West,36,Yes
C1080,18.0,SAVINGS,7752.14,2023-10-21,Active,657.0,North,66,Yes
C1081,38.0,CHECKING,1854.85,2021-11-12,Active,707.0,North,19,No
C1082,45.0,checking,6290.17,2019-06-10,Active,669.0,North,51,No
C1083,58.0,Savings,6740.48,2024-03-08,Active,657.0,North,47,No
C1084,34.0,CHECKING,1215.44,2025-03-05,Active,555.0,South,16,No
C1085,31.0,CHECKING,5145.63,2024-08-04,Active,614.0,North,43,No
C1086,34.0,checking,9010.65,2020-01-16,Active,713.0,South,67,Yes
C1087,51.0,CHECKING,4295.65,2019-06-13,Churned,800.0,South,37,Yes
C1088,44.0,checking,223.06,2022-11-08,Active,673.0,South,15,No
C1089,34.0,savings,204.48,2023-08-22,Churned,702.0,West,9,No
C1090,47.0,checking,2799.94,2018-08-15,Active,746.0,East,25,Yes
C1091,42.0,Savings,15787.9,2019-05-24,Active,623.0,North,111,Yes
C1092,52.0,SAVINGS,1707.89,2023-10-24,Churned,705.0,South,15,No
C1093,32.0,SAVINGS,6186.7,2019-09-19,Active,628.0,South,44,Yes
C1094,37.0,Savings,1656.76,2021-05-30,Active,740.0,West,18,No
C1095,36.0,SAVINGS,2478.73,2019-11-06,Active,690.0,South,26,Yes
C1096,23.0,checking,11454.91,2019-10-26,Active,700.0,East,77,No
C1097,44.0,savings,7980.75,2021-08-14,Active,625.0,South,63,No
C1098,44.0,SAVINGS,751.57,2020-07-12,Active,729.0,West,13,Yes
C1099,41.0,savings,3509.07,2021-11-18,Active,825.0,South,37,No
C1100,38.0,Savings,327.62,2023-10-27,Active,609.0,West,14,Yes
C1101,24.0,savings,4083.84,2021-03-09,Suspended,656.0,North,31,No
C1102,35.0,CHECKING,6665.97,2018-11-20,Active,696.0,North,56,Yes
C1103,,Checking,906.8,2020-10-23,Active,735.0,North,15,No
C1104,31.0,CHECKING,2195.53,2020-03-15,Churned,640.0,West,19,No
C1105,39.0,Savings,3193.36,2025-02-14,Active,481.0,West,28,No
C1106,45.0,SAVINGS,15269.3,unknown,Active,775.0,North,116,No
C1107,63.0,SAVINGS,30143.74,2021-01-29,Active,733.0,North,209,No
C1108,43.0,savings,425.71,2019-05-28,Active,557.0,North,12,Yes
C1109,,checking,8737.95,2025-01-04,Active,637.0,North,64,Yes
C1110,40.0,Checking,2938.65,2021-05-25,Active,789.0,East,20,No
C1111,18.0,checking,3140.01,2024-11-21,Suspended,781.0,East,21,No
C1112,40.0,Savings,8571.01,2023-12-26,Active,745.0,West,67,Yes
C1113,41.0,SAVINGS,15187.5,2019-01-18,Active,667.0,West,109,No
C1114,70.0,savings,18236.87,2023-08-21,Active,685.0,East,133,No
C1115,38.0,SAVINGS,5314.04,2025-03-10,Active,670.0,South,41,No
C1116,44.0,checking,2800.79,2019-11-22,Churned,758.0,North,20,Yes
C1117,40.0,checking,9444.27,2024-08-21,Active,618.0,North,72,Yes
C1118,26.0,Checking,1884.11,2024-07-06,Active,623.0,West,20,No
C1119,54.0,Checking,5131.7,2019-09-24,Active,750.0,North,46,No
C1120,50.0,savings,2814.41,2019-12-03,Active,676.0,East,20,Yes
C1121,50.0,Checking,6563.7,2025-05-22,Active,776.0,West,46,Yes
C1122,30.0,checking,1799.77,2025-01-01,Active,632.0,East,23,No
C1123,,checking,1426.14,2024-10-14,Churned,676.0,East,21,Yes
C1124,24.0,Savings,15173.74,2021-10-14,Active,615.0,South,110,No
C1125,48.0,checking,794.2,2024-04-27,Churned,680.0,West,19,Yes
C1126,67.0,savings,4380.81,2018-06-18,Active,576.0,West,42,No
C1127,29.0,CHECKING,1647.33,2018-04-27,Active,645.0,South,23,Yes
C1128,34.0,Savings,,2018-11-29,Churned,579.0,North,9,No
C1129,42.0,Savings,370.1,2018-07-06,Active,728.0,South,10,No
C1130,34.0,savings,1305.84,2025-03-12,Active,730.0,East,17,Yes
C1131,,savings,12244.09,2024-06-20,Active,558.0,East,83,No
C1132,41.0,Checking,2141.72,2020-12-20,Active,773.0,East,23,No
C1133,28.0,Savings,,2025-04-21,Active,850.0,North,20,No
C1134,46.0,Checking,5378.22,2020-05-13,Active,683.0,West,37,No
C1135,29.0,checking,3592.74,2024-06-01,Active,635.0,West,27,Yes
C1136,59.0,Savings,5356.27,2022-09-03,Active,850.0,West,43,No
C1137,31.0,Savings,4512.69,2024-12-06,Active,587.0,East,41,No
C1138,37.0,SAVINGS,8682.18,2025-03-02,Active,681.0,East,69,No
C1139,50.0,CHECKING,2141.86,2018-05-05,Active,692.0,South,25,Yes
C1140,26.0,Savings,2762.92,2023-08-02,Churned,774.0,East,29,No
C1141,43.0,checking,13621.24,2025-01-12,Active,705.0,South,92,Yes
C1142,56.0,Checking,17713.57,2024-02-13,Active,645.0,South,129,No
C1143,21.0,Checking,,2021-04-01,Churned,,South,18,No
C1144,43.0,SAVINGS,3412.66,2025-03-14,Active,656.0,South,35,No
C1145,44.0,CHECKING,9244.74,2021-05-22,Churned,609.0,South,71,No
C1146,50.0,checking,4031.43,2023-06-02,Active,683.0,East,31,No
C1147,26.0,Checking,4279.43,2020-09-30,Active,640.0,West,38,No
