CustomerID,Age,AccountType,Balance,OpenDate,Status,CreditScore,Region,TransactionCount,HasLoan
C1001,46,Savings,8406.74,2023-12-09,Active,593,North,58,Yes
C1002,39,Savings,4002.56,2022-02-12,Active,746,North,36,No
C1003,48,Checking,507.51,2022-06-19,Active,798,East,4,No
C1004,59,Savings,19140.56,2021-07-11,Active,796,North,137,Yes
C1005,38,Savings,17309.27,2025-04-14,Active,765,West,124,No
C1006,38,Checking,9378.0,2021-02-15,Churned,666,North,69,No
C1007,59,Savings,28635.87,2020-10-19,Active,654,East,204,Yes
C1008,50,Checking,4867.92,2019-04-10,Active,563,South,35,No
C1009,35,Savings,19893.58,2018-04-17,Active,822,East,146,No
C1010,47,Checking,621.7,2020-02-02,Active,712,West,9,Yes
C1011,35,Savings,2881.22,2023-08-07,Active,645,North,20,No
C1012,35,Savings,1682.31,2023-10-22,Active,772,East,17,No
C1013,43,Checking,1457.69,2022-05-05,Active,611,East,24,Yes
C1014,18,Savings,1060.54,2024-04-19,Active,708,West,16,No
C1015,20,Savings,5993.74,2019-04-28,Active,667,East,40,No
C1016,34,Checking,9270.93,,Active,724,West,62,No
C1017,28,Savings,5330.74,2020-12-02,Active,675,North,47,No
C1018,44,Savings,1103.71,2025-11-23,Active,578,East,16,No
C1019,30,Savings,10149.98,2023-01-02,Active,685,East,81,No
C1020,24,Savings,6212.86,2020-05-28,Churned,753,West,47,Yes
C1021,58,Savings,3097.76,2024-11-11,Active,677,North,22,No
C1022,38,Savings,6877.55,2021-03-15,Active,734,North,59,Yes
C1023,41,Checking,1955.86,2025-10-13,Active,606,East,18,No
C1024,23,Savings,2690.48,2023-07-05,Active,678,East,31,No
C1025,34,Checking,15118.71,2020-03-30,Churned,636,West,101,No
C1026,42,Checking,2209.21,2019-05-18,Active,732,North,18,Yes
C1027,41,Savings,3959.14,2019-07-10,Churned,682,North,33,No
C1028,45,Checking,13401.35,2018-10-31,Active,728,West,101,No
